participant_id	study	session_id	euler	rater_1	rater_3	rater_4	rater_5	rater_6	across_rater_average	qc_determination
A00008326	NKI	BAS1	-34	1			1		1	Pass
A00008326	NKI	BAS2	-25	1	1	1	1	1	1	Pass
A00008326	NKI	FLU1	-31	1	1				1	Pass
A00008399	NKI	BAS1	-42		1	1		1	1	Pass
A00013809	NKI	BAS1	-72	0.75	1				0.875	Artifact
A00018030	NKI	BAS1	-77	1	1	1	1	1	1	Pass
A00018030	NKI	FLU1	-174	1			0.75		0.875	Artifact
A00018030	NKI	TRT	-58		1	1		1	1	Pass
A00019903	NKI	BAS1	-182	1	1	1	1	1	1	Pass
A00021039	NKI	BAS1	-62	1			1		1	Pass
A00023510	NKI	BAS1	-77	1	1				1	Pass
A00025566	NKI	BAS1	-102	1	1				1	Pass
A00027159	NKI	BAS1	-115	1			1		1	Pass
A00027159	NKI	FLU1	-111	1	1	1	1	1	1	Pass
A00027159	NKI	TRT	-120	1	1	1	1	1	1	Pass
A00027167	NKI	BAS1	-141		1	1		1	1	Pass
A00027167	NKI	FLU1	-150	1	1	1	1	1	1	Pass
A00027167	NKI	TRT	-133		1	1		1	1	Pass
A00027439	NKI	FLU1	-152	1	1				1	Pass
A00027439	NKI	TRT	-78	1	1	1	1	1	1	Pass
A00027443	NKI	BAS1	-45			1	1	1	1	Pass
A00027544	NKI	BAS1	-94			1	1	0.75	0.916666667	Artifact
A00027651	NKI	BAS1	-48			1	1	1	1	Pass
A00028150	NKI	BAS1	-33		1	1		1	1	Pass
A00028152	NKI	BAS1	-50	1			1		1	Pass
A00028177	NKI	BAS1	-52			1	1	1	1	Pass
A00028184	NKI	BAS1	-70	1			1		1	Pass
A00028185	NKI	BAS1	-45	1			1		1	Pass
A00028185	NKI	BAS2	-52	1	1				1	Pass
A00028192	NKI	BAS1	-31		1	1		1	1	Pass
A00028207	NKI	BAS1	-52	1	1	1	1	1	1	Pass
A00028246	NKI	BAS1	-31	1	1				1	Pass
A00028266	NKI	BAS1	-67		1	1		1	1	Pass
A00028287	NKI	BAS1	-55	1	1	1	1	1	1	Pass
A00028339	NKI	BAS1	-65		1	1		1	1	Pass
A00028339	NKI	BAS2	-143	1			1		1	Pass
A00028339	NKI	FLU1	-72	1			1		1	Pass
A00028352	NKI	BAS1	-52	1	1				1	Pass
A00028352	NKI	BAS2	-69	1	1	1	1	1	1	Pass
